,importance
HF_Peak,0.0
LF_Peak,0.0
VLF_Peak,0.0
VLF_Rel,0.0026332149404625876
HF_Rel,0.0027913255027279035
HF_Norm,0.004912975773188352
LF_Rel,0.005308421988054155
LF_Norm,0.006495664478622149
fft_ratio,0.006931306874873877
HRV_MeanNN,0.007618673195696548
HRV_RMSSD,0.008085747055375124
HRV_SDSD,0.009089842758857965
PP_Mean,0.01110021264469612
HRV_MadNN,0.011149677081797697
HRV_CVSD,0.01242264552584724
HRV_Prc20NN,0.01309186381351385
HR_Mean,0.013875190639721289
HRV_pNN50,0.015586734345105751
SS_Mean,0.016820113465878885
HRV_MinNN,0.018507635739776387
QQ_Mean,0.01853852856776969
HRV_MCVNN,0.018854751433238875
HRV_Prc80NN,0.01938105782428977
HRV_SDNN,0.02030650356710405
HRV_MedianNN,0.020457926713609763
HRV_CVNN,0.021061490341934927
TT_Mean,0.02352325880446024
HRV_TINN,0.024827792394770384
QRS_Mean,0.025592344520960607
RS_Mean,0.029474413955167703
HRV_HTI,0.03027081047405638
HRV_IQRNN,0.03267397323027819
HRV_pNN20,0.032863146013115255
HRV_MaxNN,0.04365319994146204
QR_Mean,0.05307163315083001
fft_total,0.06658722091187748
PR_Mean,0.0999519048363338
TR_Mean,0.2524887974945449
