,importance
HRV_pNN20,0.15895146559413922
QR_Mean,0.09523634093758515
HRV_MaxNN,0.07845839035845907
HRV_Prc20NN,0.05624206815783657
PR_Mean,0.05609752678456645
HRV_MinNN,0.049715118152451644
HRV_TINN,0.04550153450691817
TR_Mean,0.039734074658532154
fft_total,0.03523351359937676
HRV_MedianNN,0.035132828123372324
HRV_SDNN,0.029748871848564368
HRV_CVNN,0.028662000546901024
HRV_HTI,0.025778408628718563
QRS_Mean,0.0242095986147554
HRV_RMSSD,0.022970168833715245
HRV_Prc80NN,0.01904524920855017
RS_Mean,0.01884729189969938
HRV_IQRNN,0.017961898586728052
HRV_CVSD,0.01790563282285696
HRV_SDSD,0.013463804573140416
HR_Mean,0.012716045858738013
HRV_MadNN,0.011497117263077243
HF_Norm,0.011340721608597287
SS_Mean,0.010699073392609773
LF_Norm,0.010135098665071287
HRV_pNN50,0.00998008077291302
HRV_MCVNN,0.009863529599823112
TT_Mean,0.009480782033859256
QQ_Mean,0.008630161931682185
HRV_MeanNN,0.008153846886953977
VLF_Rel,0.007722905079752449
PP_Mean,0.006171539368319292
LF_Rel,0.0056722563084462855
HF_Rel,0.005613098564194124
fft_ratio,0.003427956229095586
LF_Peak,0.0
HF_Peak,0.0
VLF_Peak,0.0
